step	accuracy
0	0.5275196433067322
1	0.8527519702911377
2	0.9204193353652954
3	0.9416249990463257
4	0.9554443359375
5	0.9609244465827942
6	0.9680724143981934
7	0.972599446773529
8	0.9766499996185303
9	0.9771265387535095
10	0.9747438430786133
11	0.9807004928588867
12	0.9837979674339294
13	0.9802239537239075
14	0.982844889163971
