step	loss
0	1.36436128616333
1	0.4792362451553345
2	0.28353166580200195
3	0.19892250001430511
4	0.1651676744222641
5	0.14090700447559357
6	0.12242205440998077
7	0.11088019609451294
8	0.10130860656499863
9	0.0897342711687088
10	0.08509684354066849
11	0.07515710592269897
12	0.06868911534547806
13	0.06428148597478867
14	0.05845675617456436
